"hcpcs_code","hcpcs_description","ccs_code","ccs_desc"
"36100","Insertion of needle or catheter into the carotid (neck) or vertebral (brain) artery",54,"Other vascular catheterization, not heart"
"36120","Insertion of needle or catheter into the brachial (arm) artery",54,"Other vascular catheterization, not heart"
"36140","Insertion of needle or catheter into an artery of arm or leg",54,"Other vascular catheterization, not heart"
"36147","Insertion of needle or catheter for dialysis",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36148","Insertion of needle or catheter into an artery-vein dialysis shunt or graft",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36160","Insertion of needle or catheter into aorta",54,"Other vascular catheterization, not heart"
"36200","Insertion of catheter into aorta",54,"Other vascular catheterization, not heart"
"36215","Insertion of catheter into chest or arm artery",54,"Other vascular catheterization, not heart"
"36216","Insertion of catheter into chest or arm artery",54,"Other vascular catheterization, not heart"
"36217","Insertion of catheter into chest or arm artery",54,"Other vascular catheterization, not heart"
"36218","Insertion of catheter into chest or arm artery",54,"Other vascular catheterization, not heart"
"36245","Insertion of catheter into abdominal pelvic or leg artery",54,"Other vascular catheterization, not heart"
"36246","Insertion of catheter into abdominal pelvic or leg artery",54,"Other vascular catheterization, not heart"
"36247","Insertion of catheter into abdominal pelvic or leg artery",54,"Other vascular catheterization, not heart"
"36248","Insertion of catheter into each additional abdominal, pelvic or leg artery",54,"Other vascular catheterization, not heart"
"36251","Insertion of catheter into main and accessory renal artery for imaging",54,"Other vascular catheterization, not heart"
"36252","Insertion of catheter into main and accessory renal artery for imaging",54,"Other vascular catheterization, not heart"
"36253","Insertion of catheter into main and accessory renal artery for imaging",54,"Other vascular catheterization, not heart"
"36254","Insertion of catheter into main and accessory renal artery for imaging",54,"Other vascular catheterization, not heart"
"36299","Blood vessel injection procedure",231,"Other therapeutic procedures"
"36410","Insertion of needle into vein for dignostic procedure",231,"Other therapeutic procedures"
"36415","Insertion of needle into vein for collection of blood sample",231,"Other therapeutic procedures"
"36425","Incision of vein for insertion of needle or catheter",63,"Other non-OR therapeutic cardiovascular procedures"
"36430","Transfusion of blood or blood products",222,"Blood transfusion"
"36455","Exchange blood transfusion",222,"Blood transfusion"
"36470","Injection of chemical agent into single vein",61,"Other OR procedures on vessels other than head and neck"
"36471","Injection of chemical agent into multiple veins of same leg",61,"Other OR procedures on vessels other than head and neck"
"36475","Destruction of insufficient vein of arm or leg",63,"Other non-OR therapeutic cardiovascular procedures"
"36476","Destruction of insufficient vein of arm or leg using imaging guidance",63,"Other non-OR therapeutic cardiovascular procedures"
"36478","Laser destruction of incompetent vein of arm or leg",63,"Other non-OR therapeutic cardiovascular procedures"
"36479","Laser destruction of insufficient vein of arm or leg using imaging guidance",63,"Other non-OR therapeutic cardiovascular procedures"
"36481","Insertion of catheter into portal vein of liver",54,"Other vascular catheterization, not heart"
"36500","Insertion of catheter into vein with collection of blood sample",54,"Other vascular catheterization, not heart"
"36511","Mechanical separation of white blood cells from the blood",231,"Other therapeutic procedures"
"36512","Mechanical separation of red blood cells from blood",231,"Other therapeutic procedures"
"36513","Mechanical separation of platelet cells from blood",231,"Other therapeutic procedures"
"36514","Mechanical separation of plasma from wopening blood",231,"Other therapeutic procedures"
"36516","Mechanical separation of plasma and abnormal antibodies from blood",231,"Other therapeutic procedures"
"36522","Mechanical separation of white blood cells and platelets from blood",231,"Other therapeutic procedures"
"36556","Insertion of catheter in vein for infusion",54,"Other vascular catheterization, not heart"
"36558","Insertion of catheter in vein for infusion",54,"Other vascular catheterization, not heart"
"36561","Insertion of catheter in vein and implanted device for infusion",54,"Other vascular catheterization, not heart"
"36563","Insertion of catheter in vein and implanted device for infusion",54,"Other vascular catheterization, not heart"
"36565","Insertion of two catheters in two veins for infusion",54,"Other vascular catheterization, not heart"
"36566","Insertion of catheter in vein for infusion",54,"Other vascular catheterization, not heart"
"36569","Insertion of catheter in vein for infusion",54,"Other vascular catheterization, not heart"
"36571","Insertion of catheter in vein for infusion",54,"Other vascular catheterization, not heart"
"36575","Repair of central venous catheter for infusion",63,"Other non-OR therapeutic cardiovascular procedures"
"36578","Catheter replacement of central venous access device",54,"Other vascular catheterization, not heart"
"36580","Replacement of central venous catheter",54,"Other vascular catheterization, not heart"
"36581","Replacement of central venous catheter for infusion",54,"Other vascular catheterization, not heart"
"36582","Replacement of central venous catheter for infusion",54,"Other vascular catheterization, not heart"
"36584","Replacement, complete, through same venous access, of a peripherally inserted central venous catheter (PICC)",54,"Other vascular catheterization, not heart"
"36589","Removal of central venous catheter for infusion",63,"Other non-OR therapeutic cardiovascular procedures"
"36590","Removal of peripheral venous catheter for infusion",63,"Other non-OR therapeutic cardiovascular procedures"
"36591","Collection of blood specimen from a completely implantable venous access device",63,"Other non-OR therapeutic cardiovascular procedures"
"36592","Collection of blood specimen from central or peripheral venous catheter",63,"Other non-OR therapeutic cardiovascular procedures"
"36593","Declotting infusion of implanted central venous access device or catheter",63,"Other non-OR therapeutic cardiovascular procedures"
"36595","Mechanical removal of obstructive material from central venous catheter",54,"Other vascular catheterization, not heart"
"36596","Mechanical removal of tissue or obstructive material in central venous catheter",63,"Other non-OR therapeutic cardiovascular procedures"
"36597","Repositioning of central venous catheter using fluoroscopic guidance",54,"Other vascular catheterization, not heart"
"36598","Injection procedure for X-ray imaging procedure to evaluate central venous access device",226,"Other diagnostic radiology and related techniques"
"36600","Arterial puncture withdrawal of blood for diagnosis",231,"Other therapeutic procedures"
"36620","Insertion of arterial catheter for blood sampling or infusion",54,"Other vascular catheterization, not heart"
"36625","Insertion of arterial catheter for blood sampling or infusion",54,"Other vascular catheterization, not heart"
"36680","Insertion of needle for infusion into bone",67,"Other therapeutic procedures, hemic and lymphatic system"
"36800","Insertion of external tube from vein to vein for dialysis",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36810","Insertion of external tube from artery to vein for dialysis",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36815","Repositioning or removal of external dialysis tube from vein to artery",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36818","Relocation of arm vein with connection to arm artery",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36819","Relocation of arm vein with connection to arm artery",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36820","Relocation of arm vein with connection to arm artery",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36821","Relocation of arm vein with connection to arm artery",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36822","Insertion of tubes into heart for blood oxygenation, rewarming, and return",50,"Extracorporeal circulation auxiliary to open heart procedures"
"36823","Insertion of tubes into arm or leg for blood oxygenation, rewarming, and return",54,"Other vascular catheterization, not heart"
"36825","Connection of donor vein to an artery and vein for dialysis",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36830","Connection of synthetic tube graft to vein and artery for dialysis",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36831","Removal of blood clot from dialysis graft",61,"Other OR procedures on vessels other than head and neck"
"36832","Revision of dialysis graft",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36833","Revision of dialysis graft with removal of blood cot",57,"Creation, revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis"
"36838","Repair of dialysis access in arm",63,"Other non-OR therapeutic cardiovascular procedures"
"36860","Injection for removal of blood clot from external dialysis cannula",61,"Other OR procedures on vessels other than head and neck"
"36861","Insertion of balloon catheter for removal of blood clot from external dialysis cannula",61,"Other OR procedures on vessels other than head and neck"
"36870","Catheter removal of blood clot from dialysis graft",61,"Other OR procedures on vessels other than head and neck"
"37140","Connection of vena cava and portal vein of liver",56,"Other vascular bypass and shunt, not heart"
"37182","Insertion of shunt to bypass blood flow to liver using imaging guidance",56,"Other vascular bypass and shunt, not heart"
"37184","Removal of blood clot from artery or arterial graft using fluoroscopic guidance",61,"Other OR procedures on vessels other than head and neck"
"37185","Removal of blood clot from artery or arterial graft using fluoroscopic guidance",61,"Other OR procedures on vessels other than head and neck"
"37186","Removal of blood clot from artery or arterial graft using fluoroscopic guidance",61,"Other OR procedures on vessels other than head and neck"
"37187","Infusion to dissolve blood clot from vein using fluoroscopic guidance",61,"Other OR procedures on vessels other than head and neck"
"37191","Insertion of vena cava filter",63,"Other non-OR therapeutic cardiovascular procedures"
"37192","Repositioning of vena cava filter using imaging",63,"Other non-OR therapeutic cardiovascular procedures"
"37193","Retrieval of vena cava filter using imaging",63,"Other non-OR therapeutic cardiovascular procedures"
"37200","Biopsy of blood vessel via catheter",62,"Other diagnostic cardiovascular procedures"
"37201","Infusion to dissolve blood clot",54,"Other vascular catheterization, not heart"
"37202","Insertion of catheter into blood vessel for drug infusion",54,"Other vascular catheterization, not heart"
"37203","Insertion of catheter in vein for removal of foreign body",54,"Other vascular catheterization, not heart"
"37204","Insertion of catheter and device to stop blood flow or infusion to dissolve blood clot",61,"Other OR procedures on vessels other than head and neck"
"37205","Insertion of stent into blood vessel",61,"Other OR procedures on vessels other than head and neck"
"37206","Insertion of stent into blood vessel",61,"Other OR procedures on vessels other than head and neck"
"37207","Insertion of stent in blood vessel via catheter",61,"Other OR procedures on vessels other than head and neck"
"37208","Insertion of stent in blood vessel via catheter",61,"Other OR procedures on vessels other than head and neck"
"37209","Catheter change during drug infusion therapy to dissolve blood clot",54,"Other vascular catheterization, not heart"
"37215","Insertion of stent and blood clot protection device in neck artery",59,"Other OR procedures on vessels of head and neck"
"37220","Balloon dilation of groin artery",61,"Other OR procedures on vessels other than head and neck"
"37221","Insertion of stent in leg artery",61,"Other OR procedures on vessels other than head and neck"
"37222","Balloon dilation of groin artery",61,"Other OR procedures on vessels other than head and neck"
"37223","Insertion of stent in groin artery",61,"Other OR procedures on vessels other than head and neck"
"37224","Balloon dilation of leg artery",61,"Other OR procedures on vessels other than head and neck"
"37225","Removal of plaque in leg artery",61,"Other OR procedures on vessels other than head and neck"
"37226","Insertion of stent in leg artery",61,"Other OR procedures on vessels other than head and neck"
"37227","Balloon dilation and insertion of stent in leg artery",61,"Other OR procedures on vessels other than head and neck"
"37228","Balloon dilation of leg artery",61,"Other OR procedures on vessels other than head and neck"
"37229","Removal of plaque in leg artery",61,"Other OR procedures on vessels other than head and neck"
"37230","Insertion of stent in leg artery",61,"Other OR procedures on vessels other than head and neck"
"37231","Removal of plaque and insertion of stent in leg artery",61,"Other OR procedures on vessels other than head and neck"
"37232","Balloon dilation of leg artery",61,"Other OR procedures on vessels other than head and neck"
"37233","Removal of plaque in leg artery",61,"Other OR procedures on vessels other than head and neck"
"37235","Removal of plaque and insertion of stent in leg artery",61,"Other OR procedures on vessels other than head and neck"
"37250","Ultrasound evaluation of blood vessel during diagnosis or treatment",197,"Other diagnostic ultrasound"
"37251","Ultrasound evaluation of blood vessel during diagnosis or treatment",197,"Other diagnostic ultrasound"
"37501","Blood vessel procedure using an endoscope",62,"Other diagnostic cardiovascular procedures"
"37600","Tying external carotid artery",59,"Other OR procedures on vessels of head and neck"
"37605","Tying internal or common carotid artery",59,"Other OR procedures on vessels of head and neck"
"37607","Tying or banding of a passage between an artery and vein",61,"Other OR procedures on vessels other than head and neck"
"37609","Tying or biopsy of temporal artery (side of skull)",59,"Other OR procedures on vessels of head and neck"
"37616","Tying of major chest artery",61,"Other OR procedures on vessels other than head and neck"
"37617","Tying of major artery of the abdomen",61,"Other OR procedures on vessels other than head and neck"
"37619","Tying inferior vena cava",61,"Other OR procedures on vessels other than head and neck"
"37700","Tying and incision leg vein",53,"Varicose vein stripping, lower limb"
"37722","Tying incision and stripping leg veins",53,"Varicose vein stripping, lower limb"
"37735","Tying incision and complete stripping leg veins with removal of ulcer skin graft deep tissue and/or interruption of connection with veins of the leg",53,"Varicose vein stripping, lower limb"
"37760","Tying varicosed veins of leg with skin graft",53,"Varicose vein stripping, lower limb"
"37761","Tying of varicosed veins of leg using ultrasound guidance",53,"Varicose vein stripping, lower limb"
"37765","Multiple incisions for removal of varicose veins of arm or leg",53,"Varicose vein stripping, lower limb"
"37766","Multiple incisions for removal of varicose veins of arm or leg",53,"Varicose vein stripping, lower limb"
"37785","Tying incision and/or removal of varicose vein clusters of leg",53,"Varicose vein stripping, lower limb"
"37799","Blood vessel procedure",61,"Other OR procedures on vessels other than head and neck"
"38100","Removal of spleen",66,"Procedures on spleen"
"38205","Collection of donor stem cells for transplantation",64,"Bone marrow transplant"
"38206","Collection of stem cells for transplantation",64,"Bone marrow transplant"
"38220","Bone marrow aspiration",65,"Bone marrow biopsy"
"38221","Needle or trocar bone marrow biopsy",65,"Bone marrow biopsy"
"38230","Harvest of donor bone marrow for transplantation",67,"Other therapeutic procedures, hemic and lymphatic system"
"38232","Harvest of patient bone marrow for transplantation",67,"Other therapeutic procedures, hemic and lymphatic system"
"38241","Transplantation of patient's bone marrow or blood-derived stem cells",64,"Bone marrow transplant"
"38308","Removal of growth of lymph node",67,"Other therapeutic procedures, hemic and lymphatic system"
"38381","Suture and/or tying chest lymph duct",67,"Other therapeutic procedures, hemic and lymphatic system"
"38500","Biopsy or removal of lymph nodes",67,"Other therapeutic procedures, hemic and lymphatic system"
"38505","Needle biopsy or removal of lymph nodes",67,"Other therapeutic procedures, hemic and lymphatic system"
"38510","Biopsy or removal of lymph nodes of neck",67,"Other therapeutic procedures, hemic and lymphatic system"
"38520","Biopsy or removal of lymph nodes of neck",67,"Other therapeutic procedures, hemic and lymphatic system"
"38525","Biopsy or removal of lymph nodes of neck",67,"Other therapeutic procedures, hemic and lymphatic system"
"38542","Removal of lymph nodes of neck",67,"Other therapeutic procedures, hemic and lymphatic system"
"38564","Removal of lymph nodes behind abdominal cavity",67,"Other therapeutic procedures, hemic and lymphatic system"
"38570","Removal of abdominal cavity lymph nodes using an endoscope",67,"Other therapeutic procedures, hemic and lymphatic system"
"38571","Removal of pelvic lymph nodes using an endoscope",67,"Other therapeutic procedures, hemic and lymphatic system"
"38572","Removal of pelvic and abdominal aortic lymph nodes using an endoscope",67,"Other therapeutic procedures, hemic and lymphatic system"
"38589","Lymph node procedure using an endoscope",67,"Other therapeutic procedures, hemic and lymphatic system"
"38700","Removal of lymph nodes from chin to thyroid cartilage",67,"Other therapeutic procedures, hemic and lymphatic system"
"38720","Removal of neck lymph nodes",67,"Other therapeutic procedures, hemic and lymphatic system"
"38724","Removal of lymph nodes, muscle, and tissue of neck",67,"Other therapeutic procedures, hemic and lymphatic system"
"38740","Removal of underarm lymph nodes",67,"Other therapeutic procedures, hemic and lymphatic system"
"38745","Removal of all underarm lymph nodes",67,"Other therapeutic procedures, hemic and lymphatic system"
"38746","Removal of lymph nodes from chest cavity and breast bone",67,"Other therapeutic procedures, hemic and lymphatic system"
"38747","Removal of abdominal organ lymph nodes",67,"Other therapeutic procedures, hemic and lymphatic system"
"38760","Removal of lymph nodes at groin",67,"Other therapeutic procedures, hemic and lymphatic system"
"38765","Removal of lymph nodes at groin and pelvis",67,"Other therapeutic procedures, hemic and lymphatic system"
"38770","Removal of lymph nodes at groin and pelvis",67,"Other therapeutic procedures, hemic and lymphatic system"
"38780","Removal of abdominal cavity lymph nodes",67,"Other therapeutic procedures, hemic and lymphatic system"
"38790","Injection procedure for X-ray imaging of the lymphatic system",226,"Other diagnostic radiology and related techniques"
"38792","Injection of radioactive dye for X-ray identification of lymph node",226,"Other diagnostic radiology and related techniques"
"38900","Lymph node imaging during surgery",67,"Other therapeutic procedures, hemic and lymphatic system"
"38999","Lymph node procedure",67,"Other therapeutic procedures, hemic and lymphatic system"
"39000","Drainage, biopsy, or removal of foreign body of chest cavity",42,"Other OR therapeutic procedures on respiratory system"
"39010","Drainage, biopsy, or removal of foreign body of chest cavity",42,"Other OR therapeutic procedures on respiratory system"
"39220","Removal of tumor below breast bone",42,"Other OR therapeutic procedures on respiratory system"
"39400","Examination of chest cavity below breast bone using an endoscope",40,"Other diagnostic procedures of respiratory tract and mediastinum"
"39499","Procedure at chest cavity below breast bone",42,"Other OR therapeutic procedures on respiratory system"
"39560","Repair of the muscle separating the chest and abdominal cavities",42,"Other OR therapeutic procedures on respiratory system"
"39561","Repair of muscle separating chest and abdominal cavities",42,"Other OR therapeutic procedures on respiratory system"
"40490","Biopsy of lip",31,"Diagnostic procedures on nose, mouth and pharynx"
"40510","Removal of wedge of lip tissue",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40520","V-shaped removal of lip tissue",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40652","Repair of vertical lip wound extending to half of lip",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40654","Repair of vertical lip wound extending to over half of lip",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40800","Incision of abscess, cyst, or blood accumulation in mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40801","Incision of abscess, cyst, or blood accumulation in mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40808","Biopsy of mouth",31,"Diagnostic procedures on nose, mouth and pharynx"
"40810","Removal of growth of tissue of mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40812","Removal of growth of mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40814","Removal of growth of mouth with plastic repair",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40816","Removal of tissue and muscle growth of mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40818","Removal of mouth tissue for grafting",172,"Skin graft"
"40820","Destruction of growth or scar of mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40842","Repair to increase depth of mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40843","Repair to increase depth of mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"40845","Repair to increase depth of mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"41000","Drainage of abscess, cyst, or blood accumulation of tongue",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"41008","Drainage of abscess, cyst, or blood accumulation under the jaw bone",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"41100","Biopsy of tongue",31,"Diagnostic procedures on nose, mouth and pharynx"
"41108","Biopsy of floor of mouth",31,"Diagnostic procedures on nose, mouth and pharynx"
"41112","Removal of growth of tongue",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"41113","Removal of growth of tongue",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"41120","Partial removal of tonque",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"41130","Partial removal of tongue",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"41520","Revision of tissue connecting tongue to floor of mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"41530","Destruction of tongue tissue",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"41800","Drainage of abscess, cyst, or blood accumulation of dental bone",29,"Oral and Dental Services"
"41806","Removal of foreign body in dental bone",29,"Oral and Dental Services"
"41825","Removal of growth of dental bone",29,"Oral and Dental Services"
"41826","Removal of growth of dental bone or tissue",29,"Oral and Dental Services"
"41827","Removal of growth of tooth bearing bone or tissue",29,"Oral and Dental Services"
"41874","Reshaping of tooth bone",29,"Oral and Dental Services"
"41899","Relocation of mouth tissue to gum surface",29,"Oral and Dental Services"
"42100","Biopsy of roof of mouth",31,"Diagnostic procedures on nose, mouth and pharynx"
"42280","Impression of cheek bone for prosthesis at roof of mouth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42299","Mouth procedure",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42400","Needle biopsy of salivary gland",31,"Diagnostic procedures on nose, mouth and pharynx"
"42405","Biopsy of salivary gland",31,"Diagnostic procedures on nose, mouth and pharynx"
"42410","Removal of salivary gland growth with release of facial nerve",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42415","Partial removal of salivary gland growth with release of facial nerve",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42420","Partial removal of salivary gland growth",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42505","Plastic repair of salivary duct",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42550","Injection of dye for X-ray of salivary glands",226,"Other diagnostic radiology and related techniques"
"42650","Insertion of probe for salivary gland duct dilation",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42660","Salivary gland duct dilation",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42699","Salivary gland or duct procedure",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42800","Biopsy of back of throat",31,"Diagnostic procedures on nose, mouth and pharynx"
"42802","Biopsy of throat at esophagus",31,"Diagnostic procedures on nose, mouth and pharynx"
"42806","Biopsy of throat lesion behind nose",31,"Diagnostic procedures on nose, mouth and pharynx"
"42821","Removal of tonsils and adenoid glands patient age 12 or over",30,"Tonsillectomy and/or adenoidectomy"
"42826","Removal of tonsils patient age 12 or over",30,"Tonsillectomy and/or adenoidectomy"
"42842","Removal of tonsils, tissue, muscle, and bone",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42890","Partial removal of throat",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42892","Removal of throat tissue",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42950","Plastic or reconstructive repair of the throat",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42953","Repair of the throat at esophagus",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42962","Control of bleeding of throat",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"42970","Control of bleeding of throat with insertion of packing",27,"Control of epistaxis"
"43030","Severing of muscle at upper esophagus",33,"Other OR therapeutic procedures on nose, mouth and pharynx"
"43107","Removal of esophagus",94,"Other OR upper GI therapeutic procedures"
"43112","Removal of esophagus",94,"Other OR upper GI therapeutic procedures"
"43200","Diagnostic examination of esophagus using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43201","Injection of esophgaus using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43202","Biopsy of esophagus using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43216","Removal of esophageal growth using an endoscope",93,"Other non-OR upper GI therapeutic procedures"
"43217","Removal of esophageal growth using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43219","Insertion of esophageal stent using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43220","Balloon dilation of esophagus using an endoscope",69,"Esophageal dilatation"
"43226","Insertion of guide wire for dilation of esophagus using an endoscope",69,"Esophageal dilatation"
"43227","Control of esophageal bleeding using an endoscope",93,"Other non-OR upper GI therapeutic procedures"
"43228","Destruction of esophageal polyps or growths using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43231","Ultrasound examination of esophagus using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43232","Destruction of esophageal polyps or growths using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43234","Examination of stomach and upper upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43235","Diagnostic examination of stomach and upper upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43236","Injection of esophagus, stomach, and upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43237","Examination of esophagus, stomach, and upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43238","Ultrasound guided needle aspiration or biopsies of esophagus using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43239","Biopsy of the esophagus, stomach, or upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43241","Insertion of catheter or tube in esophagus stomach and/or upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43242","Ultrasound guided needle aspiration or biopsy of stomach or upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43243","Injection of scarring or dilated veins of esophagus using an endoscope",68,"Injection or ligation of esophageal varices"
"43244","Tying of dilated veins of stomach or esophagus using an endoscope",68,"Injection or ligation of esophageal varices"
"43245","Dilation of stomach outlet using an endoscope",93,"Other non-OR upper GI therapeutic procedures"
"43246","Insertion of stomach tube using an endoscope",71,"Gastrostomy, temporary and permanent"
"43247","Removal of foreign body of esophagus, stomach, or upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43248","Insertion of guide wire with dilation of esophagus using an endoscope",69,"Esophageal dilatation"
"43249","Balloon dilation of esophagus using an endoscope",69,"Esophageal dilatation"
"43250","Removal of polyps or growths of esophagus, stomach, or upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43251","Removal of polyps or growths of esophagus, stomach, or upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43255","Control of bleeding of esophagus, stomach, or upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43256","Insertion of stent in esophagus, stomach, and/or upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43258","Destruction of polyps or growths of esophagus, stomach, or upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43259","Ultrasound examination of esophagus, stomach, upper small bowel using an endoscope",70,"Upper gastrointestinal endoscopy, biopsy"
"43260","Diagnostic examination of gallbladder and pancreatic, liver, and bile ducts using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43261","Biopsy of gallbladder, pancreatic, liver, and bile ducts using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43262","Incision of pancreatic outlet muscle using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43263","Pressure measurement of pancreatic or bile duct using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43264","Removal of stone from bile or pancreatic duct using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43265","Destruction of stone in bile or pancreatic duct using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43267","Insertion of pancreatic or bile duct drainage tube using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43268","Insertion of tube or stent into bile or pancreatic duct using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43269","Removal of foreign body or change of pancreatic or bile duct tube or stent using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43271","Balloon dilation of bile or pancreatic duct using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43272","Destruction of polyps or growths of pancreatic or bile duct using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43273","Examination of common bile and pancreatic duct using an endoscope",82,"Endoscopic retrograde cannulation of pancreas (ERCP)"
"43279","Repair of muscle to lower esophagus and stomach using an endoscope",94,"Other OR upper GI therapeutic procedures"
"43280","Repair of muscle at esophagus and stomach using an endoscope",94,"Other OR upper GI therapeutic procedures"
"43281","Repair of hernia of muscle at esophagus and stomach using an endoscope",86,"Other hernia repair"
"43282","Repair of hernia of muscle at esophagus and stomach with implantation of mesh using an endoscope",86,"Other hernia repair"
"43283","Lengthening of esophagus using an endoscope",94,"Other OR upper GI therapeutic procedures"
"43289","Esophagus procedure using an endoscope",87,"Laparoscopy"
"43332","Repair of paraesophageal hernia",86,"Other hernia repair"
"43334","Repair of paraesophageal hernia",86,"Other hernia repair"
"43338","Lengthening of esophagus",94,"Other OR upper GI therapeutic procedures"
"43450","Dilation of esophagus",69,"Esophageal dilatation"
"43453","Dilation of esophagus",69,"Esophageal dilatation"
"43456","Dilation of esophagus",69,"Esophageal dilatation"
"43458","Dilation of esophagus",69,"Esophageal dilatation"
